model,odometer,price,DAS,accident_history,EMI,State Abb,State
Model S,59393,52200,Autopilot,No Accidents,804,GA,Georgia
Model S,26281,58500,Autopilot,No Accidents,917,FL,Florida
Model S,11800,65200,Full Self-Driving ,No Accidents,1038,CA,California
Model S,28658,72700,Autopilot,No Accidents,1173,MD,Maryland
Model S,23273,74600,Autopilot,No Accidents,1207,MN,Minnesota
Model S,14754,78500,Autopilot,No Accidents,1277,FL,Florida
Model S,17422,80900,Full Self-Driving ,No Accidents,1320,MN,Minnesota
Model S,10084,82800,Full Self-Driving ,No Accidents,1354,FL,Florida
Model S,11800,65200,Full Self-Driving ,No Accidents,1038,CA,California
Model S,17927,83600,Full Self-Driving ,No Accidents,1369,CA,California
Model S,17964,84600,Full Self-Driving ,No Accidents,1387,CA,California
Model S,59393,52200,Autopilot,No Accidents,804,GA,Georgia
Model S,26281,58500,Autopilot,No Accidents,917,FL,Florida
Model S,11800,65200,Full Self-Driving ,No Accidents,1038,CA,California
Model S,28658,72700,Autopilot,No Accidents,1173,MD,Maryland
Model S,23273,74600,Autopilot,No Accidents,1207,MN,Minnesota
Model S,14754,78500,Autopilot,No Accidents,1277,FL,Florida
Model S,17422,80900,Full Self-Driving ,No Accidents,1320,MN,Minnesota
Model S,10084,82800,Full Self-Driving ,No Accidents,1354,FL,Florida
Model S,11800,65200,Full Self-Driving ,No Accidents,1038,CA,California
Model S,59393,52200,Autopilot,No Accidents,804,GA,Georgia
Model S,26281,58500,Autopilot,No Accidents,917,FL,Florida
Model S,28658,72700,Autopilot,No Accidents,1173,MD,Maryland
Model S,23273,74600,Autopilot,No Accidents,1207,MN,Minnesota
Model S,14754,78500,Autopilot,No Accidents,1277,FL,Florida
Model S,17422,80900,Full Self-Driving ,No Accidents,1320,MN,Minnesota
Model S,10084,82800,Full Self-Driving ,No Accidents,1354,CA,California
Model S,17927,83600,Full Self-Driving ,No Accidents,1369,CA,California
Model S,17964,84600,Full Self-Driving ,No Accidents,1387,FL,Florida
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model S,21312,77100,Autopilot,No Accidents,1252,CA,California
Model X,29858,57100,Autopilot,No Accidents,892,WA,Washington
Model X,33020,46600,Enhanced Autopilot,No Accidents,703,CA,California
Model X,33382,46800,Autopilot,No Accidents,707,NJ,New Jersey
Model X,45395,47100,Enhanced Autopilot,No Accidents,712,CA,California
Model X,24487,48600,Autopilot,No Accidents,739,CA,California
Model X,49895,49300,Autopilot,No Accidents,752,CA,California
Model X,18721,50800,Enhanced Autopilot,No Accidents,779,NJ,New Jersey
Model X,41895,51700,Autopilot,No Accidents,795,VA,Virginia
Model X,29668,52400,Autopilot,No Accidents,808,FL,Florida
Model X,27927,58300,Autopilot,No Accidents,914,MD,Maryland
Model X,88123,44100,Autopilot,No Accidents,658,GA,Georgia
Model X,61874,47500,Enhanced Autopilot,Previously Repaired,719,CA,California
Model X,44067,56900,Autopilot,No Accidents,889,FL,Florida
Model X,57890,41200,Autopilot,No Accidents,606,IL,Illinois
Model X,59222,48800,Autopilot,Previously Repaired,743,NJ,New Jersey
Model X,44208,56500,Autopilot,No Accidents,881,MD,Maryland
Model X,29858,57100,Autopilot,No Accidents,892,WA,Washington
Model X,57890,41200,Autopilot,No Accidents,606,IL,Illinois
Model X,59222,48800,Autopilot,Previously Repaired,743,NJ,New Jersey
Model X,44208,56500,Autopilot,No Accidents,881,MD,Maryland
Model X,29858,57100,Autopilot,No Accidents,892,WA,Washington
Model X,33020,46600,Enhanced Autopilot,No Accidents,703,CA,California
Model X,33382,46800,Autopilot,No Accidents,707,NJ,New Jersey
Model X,45395,47100,Enhanced Autopilot,No Accidents,712,CA,California
Model X,24487,48600,Autopilot,No Accidents,739,CA,California
Model X,49895,49300,Autopilot,No Accidents,752,CA,California
Model X,18721,50800,Enhanced Autopilot,No Accidents,779,NJ,New Jersey
Model X,41895,51700,Autopilot,No Accidents,795,VA,Virginia
Model X,29668,52400,Autopilot,No Accidents,808,FL,Florida
Model X,27927,58300,Autopilot,No Accidents,914,MD,Maryland
Model X,88123,44100,Autopilot,No Accidents,658,GA,Georgia
Model X,61874,47500,Enhanced Autopilot,Previously Repaired,719,CA,California
Model X,44067,56900,Autopilot,No Accidents,889,FL,Florida
Model X,33020,46600,Enhanced Autopilot,No Accidents,703,CA,California
Model X,45395,47100,Enhanced Autopilot,No Accidents,712,CA,California
Model X,24487,48600,Autopilot,No Accidents,739,CA,California
Model X,49895,49300,Autopilot,No Accidents,752,CA,California
Model X,33020,46600,Enhanced Autopilot,No Accidents,703,CA,California
Model X,45395,47100,Enhanced Autopilot,No Accidents,712,CA,California
Model X,24487,48600,Autopilot,No Accidents,739,CA,California
Model X,49895,49300,Autopilot,No Accidents,752,CA,California
Model X,61874,47500,Enhanced Autopilot,Previously Repaired,719,CA,California
Model X,57890,41200,Autopilot,No Accidents,606,IL,Illinois
Model X,88123,44100,Autopilot,No Accidents,658,GA,Georgia
Model X,33020,46600,Enhanced Autopilot,No Accidents,703,CA,California
Model X,33382,46800,Autopilot,No Accidents,707,NJ,New Jersey
Model X,45395,47100,Enhanced Autopilot,No Accidents,712,CA,California
Model X,24487,48600,Autopilot,No Accidents,739,CA,California
Model X,59222,48800,Autopilot,Previously Repaired,743,NJ,New Jersey
Model X,49895,49300,Autopilot,No Accidents,752,CA,California
Model X,18721,50800,Enhanced Autopilot,No Accidents,779,NJ,New Jersey
Model X,41895,51700,Autopilot,No Accidents,795,VA,Virginia
Model X,29668,52400,Autopilot,No Accidents,808,FL,Florida
Model X,44208,56500,Autopilot,No Accidents,881,MD,Maryland
Model X,44067,56900,Autopilot,No Accidents,889,FL,Florida
Model X,29858,57100,Autopilot,No Accidents,892,WA,Washington
Model X,27927,58300,Autopilot,No Accidents,914,MD,Maryland
Model X,72859,44800,Autopilot,Previously Repaired,671,IL,Illinois
Model X,75465,46100,Autopilot,No Accidents,694,NY,New York
Model X,83927,47000,Autopilot,Previously Repaired,710,MD,Maryland
Model X,52338,50600,Autopilot,No Accidents,775,MN,Minnesota
Model X,47443,51000,Autopilot,No Accidents,782,NC,North Carolina
Model X,47301,51000,Autopilot,No Accidents,782,CO,Colorado
Model X,68736,51700,Full Self-Driving ,Previously Repaired,795,MD,Maryland
Model X,39191,52500,Autopilot,Previously Repaired,809,FL,Florida
Model X,43197,53400,Autopilot,No Accidents,826,CA,California
Model X,54711,53400,Autopilot,No Accidents,826,IL,Illinois
Model X,44552,54100,Autopilot,No Accidents,838,IL,Illinois
Model X,47149,54200,Autopilot,No Accidents,840,CA,California
Model X,33617,55200,Autopilot,No Accidents,858,CA,California
Model X,32110,55300,Autopilot,No Accidents,860,CA,California
Model X,25369,55800,Autopilot,No Accidents,869,MN,Minnesota
Model X,74413,56200,Full Self-Driving ,No Accidents,876,GA,Georgia
Model X,45792,58300,Full Self-Driving ,No Accidents,914,IL,Illinois
Model X,26423,59800,Autopilot,No Accidents,941,FL,Florida
Model X,33722,59800,Autopilot,No Accidents,941,CA,California
Model X,72859,44800,Autopilot,Previously Repaired,671,IL,Illinois
Model X,75465,46100,Autopilot,No Accidents,694,NY,New York
Model X,83927,47000,Autopilot,Previously Repaired,710,MD,Maryland
Model X,52338,50600,Autopilot,No Accidents,775,MN,Minnesota
Model X,47443,51000,Autopilot,No Accidents,782,NC,North Carolina
Model X,47301,51000,Autopilot,No Accidents,782,CO,Colorado
Model X,68736,51700,Full Self-Driving ,Previously Repaired,795,MD,Maryland
Model X,39191,52500,Autopilot,Previously Repaired,809,FL,Florida
Model X,43197,53400,Autopilot,No Accidents,826,CA,California
Model X,54711,53400,Autopilot,No Accidents,826,IL,Illinois
Model X,44552,54100,Autopilot,No Accidents,838,IL,Illinois
Model X,47149,54200,Autopilot,No Accidents,840,CA,California
Model X,33617,55200,Autopilot,No Accidents,858,CA,California
Model X,32110,55300,Autopilot,No Accidents,860,CA,California
Model X,25369,55800,Autopilot,No Accidents,869,MN,Minnesota
Model X,74413,56200,Full Self-Driving ,No Accidents,876,GA,Georgia
Model X,45792,58300,Full Self-Driving ,No Accidents,914,IL,Illinois
Model X,26423,59800,Autopilot,No Accidents,941,FL,Florida
Model X,33722,59800,Autopilot,No Accidents,941,CA,California
Model X,72859,44800,Autopilot,Previously Repaired,671,IL,Illinois
Model X,75465,46100,Autopilot,No Accidents,694,NY,New York
Model X,83927,47000,Autopilot,Previously Repaired,710,MD,Maryland
Model X,52338,50600,Autopilot,No Accidents,775,MN,Minnesota
Model X,47443,51000,Autopilot,No Accidents,782,NC,North Carolina
Model X,47301,51000,Autopilot,No Accidents,782,CO,Colorado
Model X,68736,51700,Full Self-Driving ,Previously Repaired,795,MD,Maryland
Model X,39191,52500,Autopilot,Previously Repaired,809,FL,Florida
Model X,43197,53400,Autopilot,No Accidents,826,CA,California
Model X,54711,53400,Autopilot,No Accidents,826,IL,Illinois
Model X,44552,54100,Autopilot,No Accidents,838,IL,Illinois
Model X,47149,54200,Autopilot,No Accidents,840,CA,California
Model X,33617,55200,Autopilot,No Accidents,858,CA,California
Model X,32110,55300,Autopilot,No Accidents,860,CA,California
Model X,25369,55800,Autopilot,No Accidents,869,MN,Minnesota
Model X,74413,56200,Full Self-Driving ,No Accidents,876,GA,Georgia
Model X,45792,58300,Full Self-Driving ,No Accidents,914,IL,Illinois
Model X,26423,59800,Autopilot,No Accidents,941,FL,Florida
Model X,33722,59800,Autopilot,No Accidents,941,CA,California
Model X,72859,44800,Autopilot,Previously Repaired,671,IL,Illinois
Model X,75465,46100,Autopilot,No Accidents,694,NY,New York
Model X,83927,47000,Autopilot,Previously Repaired,710,MD,Maryland
Model X,52338,50600,Autopilot,No Accidents,775,MN,Minnesota
Model X,47443,51000,Autopilot,No Accidents,782,NC,North Carolina
Model X,47301,51000,Autopilot,No Accidents,782,CO,Colorado
Model X,68736,51700,Full Self-Driving ,Previously Repaired,795,MD,Maryland
Model X,39191,52500,Autopilot,Previously Repaired,809,FL,Florida
Model X,43197,53400,Autopilot,No Accidents,826,CA,California
Model X,54711,53400,Autopilot,No Accidents,826,IL,Illinois
Model X,44552,54100,Autopilot,No Accidents,838,IL,Illinois
Model X,47149,54200,Autopilot,No Accidents,840,CA,California
Model X,33617,55200,Autopilot,No Accidents,858,CA,California
Model X,32110,55300,Autopilot,No Accidents,860,CA,California
Model X,25369,55800,Autopilot,No Accidents,869,MN,Minnesota
Model X,74413,56200,Full Self-Driving ,No Accidents,876,GA,Georgia
Model X,45792,58300,Full Self-Driving ,No Accidents,914,IL,Illinois
Model X,26423,59800,Autopilot,No Accidents,941,FL,Florida
Model X,33722,59800,Autopilot,No Accidents,941,CA,California
Model X,54711,53400,Autopilot,No Accidents,826,CA,California
Model X,32110,55300,Autopilot,No Accidents,860,CA,California
Model X,25369,55800,Autopilot,No Accidents,869,CA,California
Model X,38936,60900,Full Self-Driving ,No Accidents,960,CA,California
Model X,54711,53400,Autopilot,No Accidents,826,CA,California
Model X,32110,55300,Autopilot,No Accidents,860,CA,California
Model X,25369,55800,Autopilot,No Accidents,869,CA,California
Model X,38936,60900,Full Self-Driving ,No Accidents,960,CA,California
Model X,33617,55200,Autopilot,No Accidents,858,CA,California
Model X,40492,55100,Autopilot,No Accidents,856,AZ,Arizona
Model X,40492,55100,Autopilot,No Accidents,856,AZ,Arizona
Model X,40492,55100,Autopilot,No Accidents,856,AZ,Arizona
Model X,40492,55100,Autopilot,No Accidents,856,AZ,Arizona
Model X,40492,55100,Autopilot,No Accidents,856,AZ,Arizona
Model X,72032,52100,Autopilot,No Accidents,802,CA,California
Model X,48714,54300,Autopilot,Previously Repaired,842,CA,California
Model X,59498,57400,Full Self-Driving ,No Accidents,898,CA,California
Model X,44705,57800,Autopilot,No Accidents,905,CA,California
Model X,52659,58400,Full Self-Driving ,Previously Repaired,915,CA,California
Model X,23670,62500,Autopilot,No Accidents,989,CA,California
Model X,23216,64000,Autopilot,Previously Repaired,1016,CA,California
Model X,40438,66100,Full Self-Driving ,No Accidents,1054,CA,California
Model X,32527,69200,Full Self-Driving ,No Accidents,1110,CA,California
Model X,72032,52100,Autopilot,No Accidents,802,CA,California
Model X,48714,54300,Autopilot,Previously Repaired,842,CA,California
Model X,59498,57400,Full Self-Driving ,No Accidents,898,CA,California
Model X,44705,57800,Autopilot,No Accidents,905,CA,California
Model X,52659,58400,Full Self-Driving ,Previously Repaired,915,CA,California
Model X,23670,62500,Autopilot,No Accidents,989,CA,California
Model X,23216,64000,Autopilot,Previously Repaired,1016,CA,California
Model X,40438,66100,Full Self-Driving ,No Accidents,1054,CA,California
Model X,32527,69200,Full Self-Driving ,No Accidents,1110,CA,California
Model X,72032,52100,Autopilot,No Accidents,802,CA,California
Model X,48714,54300,Autopilot,Previously Repaired,842,CA,California
Model X,59498,57400,Full Self-Driving ,No Accidents,898,CA,California
Model X,44705,57800,Autopilot,No Accidents,905,CA,California
Model X,52659,58400,Full Self-Driving ,Previously Repaired,915,CA,California
Model X,23670,62500,Autopilot,No Accidents,989,CA,California
Model X,23216,64000,Autopilot,Previously Repaired,1016,CA,California
Model X,40438,66100,Full Self-Driving ,No Accidents,1054,CA,California
Model X,32527,69200,Full Self-Driving ,No Accidents,1110,CA,California
Model X,39889,58800,Autopilot,No Accidents,923,CA,California
Model X,47333,58000,Autopilot,No Accidents,908,NJ,New Jersey
Model X,41142,58400,Autopilot,No Accidents,915,CO,Colorado
Model X,35238,61800,Autopilot,No Accidents,977,CO,Colorado
Model X,24158,64700,Autopilot,No Accidents,1029,MN,Minnesota
Model X,19037,64900,Autopilot,No Accidents,1032,TN,Tennessee
Model X,24344,65400,Autopilot,No Accidents,1041,NJ,New Jersey
Model X,22919,70100,Autopilot,No Accidents,1126,FL,Florida
Model X,47333,58000,Autopilot,No Accidents,908,NJ,New Jersey
Model X,41142,58400,Autopilot,No Accidents,915,CO,Colorado
Model X,35238,61800,Autopilot,No Accidents,977,CO,Colorado
Model X,24158,64700,Autopilot,No Accidents,1029,MN,Minnesota
Model X,19037,64900,Autopilot,No Accidents,1032,TN,Tennessee
Model X,24344,65400,Autopilot,No Accidents,1041,NJ,New Jersey
Model X,22919,70100,Autopilot,No Accidents,1126,FL,Florida
Model X,47333,58000,Autopilot,No Accidents,908,NJ,New Jersey
Model X,41142,58400,Autopilot,No Accidents,915,CO,Colorado
Model X,35238,61800,Autopilot,No Accidents,977,CO,Colorado
Model X,24158,64700,Autopilot,No Accidents,1029,MN,Minnesota
Model X,19037,64900,Autopilot,No Accidents,1032,TN,Tennessee
Model X,24344,65400,Autopilot,No Accidents,1041,NJ,New Jersey
Model X,22919,70100,Autopilot,No Accidents,1126,FL,Florida
Model X,47333,58000,Autopilot,No Accidents,908,NJ,New Jersey
Model X,35238,61800,Autopilot,No Accidents,977,CO,Colorado
Model X,24158,64700,Autopilot,No Accidents,1029,MN,Minnesota
Model X,19037,64900,Autopilot,No Accidents,1032,TN,Tennessee
Model X,41142,58400,Autopilot,No Accidents,915,CO,Colorado
Model X,24344,65400,Autopilot,No Accidents,1041,NJ,New Jersey
Model X,22919,70100,Autopilot,No Accidents,1126,FL,Florida
Model X,16127,72600,Autopilot,No Accidents,1171,MD,Maryland
Model X,6368,81600,Autopilot,No Accidents,1333,CA,California
Model X,9406,82900,Autopilot,No Accidents,1356,TN,Tennessee
Model X,7739,83500,Full Self-Driving ,No Accidents,1367,MA,Massachusetts
Model X,17262,79500,Autopilot,No Accidents,1295,CA,California
Model X,6368,81600,Autopilot,No Accidents,1333,TN,Tennessee
Model X,17262,79500,Autopilot,No Accidents,1295,MA,Massachusetts
Model X,16127,72600,Autopilot,No Accidents,1171,MA,Massachusetts
Model X,17262,79500,Autopilot,No Accidents,1295,MD,Maryland
Model X,6368,81600,Autopilot,No Accidents,1333,CA,California
Model X,9406,82900,Autopilot,No Accidents,1356,TN,Tennessee
Model X,17262,79500,Autopilot,No Accidents,1295,MA,Massachusetts
Model X,17262,79500,Autopilot,No Accidents,1295,MA,Massachusetts
Model X,16127,72600,Autopilot,No Accidents,1171,MA,Massachusetts
Model X,17262,79500,Autopilot,No Accidents,1295,MD,Maryland
Model X,6368,81600,Autopilot,No Accidents,1333,CA,California
Model X,9406,82900,Autopilot,No Accidents,1356,TN,Tennessee
Model X,9406,82900,Autopilot,No Accidents,1356,CA,California
Model X,9406,82900,Autopilot,No Accidents,1356,CA,California
Model X,9406,82900,Autopilot,No Accidents,1356,CA,California
Model Y,73526,38100,Full Self-Driving ,No Accidents,604,CA,California
Model Y,35491,39200,Autopilot,No Accidents,624,CA,California
Model Y,29031,39200,Autopilot,No Accidents,624,CA,California
Model Y,31205,39800,Autopilot,No Accidents,635,CA,California
Model Y,27049,40000,Autopilot,Previously Repaired,639,CA,California
Model Y,35247,40100,Autopilot,No Accidents,640,CA,California
Model Y,45332,40200,Enhanced Autopilot,No Accidents,642,CA,California
Model Y,44416,40300,Full Self-Driving ,No Accidents,644,CA,California
Model Y,34285,40400,Autopilot,No Accidents,646,CA,California
Model Y,20564,40600,Autopilot,No Accidents,649,CA,California
Model Y,32545,40700,Autopilot,No Accidents,651,CA,California
Model Y,46112,41000,Full Self-Driving ,No Accidents,656,CA,California
Model Y,37836,41200,Enhanced Autopilot,No Accidents,660,CA,California
Model Y,34111,41300,Enhanced Autopilot,No Accidents,662,CA,California
Model Y,28005,41500,Autopilot,No Accidents,665,CA,California
Model Y,23858,41500,Autopilot,No Accidents,665,CA,California
Model Y,35584,41700,Enhanced Autopilot,No Accidents,669,CA,California
Model Y,27837,41700,Autopilot,No Accidents,669,CA,California
Model Y,26330,41900,Autopilot,No Accidents,673,CA,California
Model Y,24479,41900,Autopilot,No Accidents,673,CA,California
Model Y,33839,42000,Enhanced Autopilot,No Accidents,674,CA,California
Model Y,25027,42000,Autopilot,No Accidents,674,CA,California
Model Y,31370,42200,Enhanced Autopilot,No Accidents,678,CA,California
Model Y,27426,42300,Full Self-Driving ,Previously Repaired,680,CA,California
Model Y,31358,42400,Enhanced Autopilot,No Accidents,682,CA,California
Model Y,23596,42400,Autopilot,No Accidents,682,CA,California
Model Y,44958,42900,Full Self-Driving ,No Accidents,691,CA,California
Model Y,13119,43200,Autopilot,No Accidents,696,CA,California
Model Y,12306,43400,Autopilot,No Accidents,700,CA,California
Model Y,32886,43600,Full Self-Driving ,No Accidents,703,CA,California
Model Y,13807,47000,Full Self-Driving ,No Accidents,764,CA,California
Model Y,73526,38100,Full Self-Driving ,No Accidents,604,CA,California
Model Y,35491,39200,Autopilot,No Accidents,624,CA,California
Model Y,29031,39200,Autopilot,No Accidents,624,CA,California
Model Y,31205,39800,Autopilot,No Accidents,635,CA,California
Model Y,27049,40000,Autopilot,Previously Repaired,639,CA,California
Model Y,35247,40100,Autopilot,No Accidents,640,CA,California
Model Y,45332,40200,Enhanced Autopilot,No Accidents,642,CA,California
Model Y,44416,40300,Full Self-Driving ,No Accidents,644,CA,California
Model Y,34285,40400,Autopilot,No Accidents,646,CA,California
Model Y,20564,40600,Autopilot,No Accidents,649,CA,California
Model Y,32545,40700,Autopilot,No Accidents,651,CA,California
Model Y,46112,41000,Full Self-Driving ,No Accidents,656,CA,California
Model Y,37836,41200,Enhanced Autopilot,No Accidents,660,CA,California
Model Y,34111,41300,Enhanced Autopilot,No Accidents,662,CA,California
Model Y,28005,41500,Autopilot,No Accidents,665,CA,California
Model Y,23858,41500,Autopilot,No Accidents,665,CA,California
Model Y,35584,41700,Enhanced Autopilot,No Accidents,669,CA,California
Model Y,27837,41700,Autopilot,No Accidents,669,CA,California
Model Y,26330,41900,Autopilot,No Accidents,673,CA,California
Model Y,24479,41900,Autopilot,No Accidents,673,CA,California
Model Y,33839,42000,Enhanced Autopilot,No Accidents,674,CA,California
Model Y,25027,42000,Autopilot,No Accidents,674,CA,California
Model Y,31370,42200,Enhanced Autopilot,No Accidents,678,CA,California
Model Y,27426,42300,Full Self-Driving ,Previously Repaired,680,CA,California
Model Y,31358,42400,Enhanced Autopilot,No Accidents,682,CA,California
Model Y,23596,42400,Autopilot,No Accidents,682,CA,California
Model Y,44958,42900,Full Self-Driving ,No Accidents,691,CA,California
Model Y,13119,43200,Autopilot,No Accidents,696,CA,California
Model Y,12306,43400,Autopilot,No Accidents,700,CA,California
Model Y,32886,43600,Full Self-Driving ,No Accidents,703,CA,California
Model Y,13807,47000,Full Self-Driving ,No Accidents,764,CA,California
Model Y,73526,38100,Full Self-Driving ,No Accidents,604,CA,California
Model Y,29394,38400,Autopilot,No Accidents,610,CA,California
Model Y,35491,39200,Autopilot,No Accidents,624,CA,California
Model Y,29031,39200,Autopilot,No Accidents,624,CA,California
Model Y,31205,39800,Autopilot,No Accidents,635,CA,California
Model Y,27049,40000,Autopilot,Previously Repaired,639,CA,California
Model Y,35247,40100,Autopilot,No Accidents,640,CA,California
Model Y,45332,40200,Enhanced Autopilot,No Accidents,642,CA,California
Model Y,44416,40300,Full Self-Driving ,No Accidents,644,CA,California
Model Y,34285,40400,Autopilot,No Accidents,646,CA,California
Model Y,20564,40600,Autopilot,No Accidents,649,CA,California
Model Y,32545,40700,Autopilot,No Accidents,651,CA,California
Model Y,46112,41000,Full Self-Driving ,No Accidents,656,CA,California
Model Y,37836,41200,Enhanced Autopilot,No Accidents,660,CA,California
Model Y,34111,41300,Enhanced Autopilot,No Accidents,662,CA,California
Model Y,28005,41500,Autopilot,No Accidents,665,CA,California
Model Y,23858,41500,Autopilot,No Accidents,665,CA,California
Model Y,35584,41700,Enhanced Autopilot,No Accidents,669,CA,California
Model Y,27837,41700,Autopilot,No Accidents,669,CA,California
Model Y,26330,41900,Autopilot,No Accidents,673,CA,California
Model Y,24479,41900,Autopilot,No Accidents,673,CA,California
Model Y,33839,42000,Enhanced Autopilot,No Accidents,674,CA,California
Model Y,25027,42000,Autopilot,No Accidents,674,CA,California
Model Y,31370,42200,Enhanced Autopilot,No Accidents,678,CA,California
Model Y,27426,42300,Full Self-Driving ,Previously Repaired,680,CA,California
Model Y,31358,42400,Enhanced Autopilot,No Accidents,682,CA,California
Model Y,23596,42400,Autopilot,No Accidents,682,CA,California
Model Y,44958,42900,Full Self-Driving ,No Accidents,691,CA,California
Model Y,13119,43200,Autopilot,No Accidents,696,CA,California
Model Y,12306,43400,Autopilot,No Accidents,700,CA,California
Model Y,32886,43600,Full Self-Driving ,No Accidents,703,CA,California
Model Y,26157,44800,Full Self-Driving ,No Accidents,725,CA,California
Model Y,13807,47000,Full Self-Driving ,No Accidents,764,CA,California
Model Y,29394,38400,Autopilot,No Accidents,610,CA,California
Model Y,44416,40300,Full Self-Driving ,No Accidents,644,CA,California
Model Y,30138,41200,Autopilot,No Accidents,660,CA,California
Model Y,27837,41700,Autopilot,No Accidents,669,CA,California
Model Y,25622,41800,Autopilot,No Accidents,671,CA,California
Model Y,31358,42400,Enhanced Autopilot,No Accidents,682,CA,California
Model Y,31815,42900,Full Self-Driving ,No Accidents,691,CA,California
Model Y,26157,44800,Full Self-Driving ,No Accidents,725,CA,California
Model Y,25081,42500,Autopilot,No Accidents,683,MN,Minnesota
Model Y,13319,43000,Enhanced Autopilot,No Accidents,692,MN,Minnesota
Model Y,23094,42300,Enhanced Autopilot,Previously Repaired,680,AZ,Arizona
Model Y,30911,46100,Full Self-Driving ,No Accidents,748,AZ,Arizona
Model Y,23094,42300,Enhanced Autopilot,Previously Repaired,680,AZ,Arizona
Model Y,30911,46100,Full Self-Driving ,No Accidents,748,AZ,Arizona
Model Y,29166,36600,Enhanced Autopilot,No Accidents,577,NY,New York
Model Y,71384,36900,Enhanced Autopilot,No Accidents,583,MD,Maryland
Model Y,20918,37200,Autopilot,No Accidents,588,FL,Florida
Model Y,53756,39000,Enhanced Autopilot,No Accidents,621,CA,California
Model Y,52639,39300,Enhanced Autopilot,No Accidents,626,CA,California
Model Y,55681,39300,Enhanced Autopilot,No Accidents,626,CA,California
Model Y,47912,39900,Enhanced Autopilot,No Accidents,637,GA,Georgia
Model Y,37704,40000,Autopilot,No Accidents,639,NC,North Carolina
Model Y,30772,40100,Autopilot,No Accidents,640,GA,Georgia
Model Y,32579,40500,Autopilot,No Accidents,648,CA,California
Model Y,16004,40600,Autopilot,Previously Repaired,649,CA,California
Model Y,42832,40900,Enhanced Autopilot,No Accidents,655,CA,California
Model Y,60694,41500,Full Self-Driving ,No Accidents,665,CA,California
Model Y,38408,41500,Enhanced Autopilot,No Accidents,665,TN,Tennessee
Model Y,40785,41900,Full Self-Driving ,No Accidents,673,MD,Maryland
Model Y,28462,41900,Autopilot,No Accidents,673,CA,California
Model Y,17678,42200,Autopilot,No Accidents,678,CA,California
Model Y,40087,42200,Full Self-Driving ,Previously Repaired,678,MD,Maryland
Model Y,27284,42200,Autopilot,No Accidents,678,CA,California
Model Y,25105,42400,Autopilot,No Accidents,682,CA,California
Model Y,25081,42500,Autopilot,No Accidents,683,MN,Minnesota
Model Y,35846,42900,Enhanced Autopilot,No Accidents,691,CA,California
Model Y,13319,43000,Enhanced Autopilot,No Accidents,692,MN,Minnesota
Model Y,14990,43200,Autopilot,No Accidents,696,CA,California
Model Y,24396,43400,Autopilot,No Accidents,700,CO,Colorado
Model Y,17221,43600,Autopilot,No Accidents,703,CA,California
Model Y,38561,43600,Full Self-Driving ,No Accidents,703,OH,Ohio
Model Y,8893,43600,Autopilot,No Accidents,703,CA,California
Model Y,10596,43700,Autopilot,No Accidents,705,MA,Massachusetts
Model Y,19790,43700,Autopilot,No Accidents,705,CA,California
Model Y,21739,44000,Enhanced Autopilot,No Accidents,710,MD,Maryland
Model Y,9472,44100,Autopilot,No Accidents,712,GA,Georgia
Model Y,31413,44200,Full Self-Driving ,No Accidents,714,MD,Maryland
Model Y,27437,44300,Enhanced Autopilot,No Accidents,716,CA,California
Model Y,33708,44400,Full Self-Driving ,No Accidents,718,CA,California
Model Y,34855,44600,Full Self-Driving ,No Accidents,721,CA,California
Model Y,33533,44700,Full Self-Driving ,No Accidents,723,IL,Illinois
Model Y,13561,44900,Autopilot,No Accidents,727,CO,Colorado
Model Y,15755,45100,Enhanced Autopilot,No Accidents,730,MD,Maryland
Model Y,31908,45200,Full Self-Driving ,No Accidents,732,MD,Maryland
Model Y,30571,45300,Full Self-Driving ,No Accidents,734,IL,Illinois
Model Y,32852,45400,Full Self-Driving ,No Accidents,736,MD,Maryland
Model Y,11527,46000,Enhanced Autopilot,No Accidents,746,MD,Maryland
Model Y,24472,46100,Full Self-Driving ,No Accidents,748,MD,Maryland
Model Y,14416,46300,Enhanced Autopilot,No Accidents,752,IL,Illinois
Model Y,24064,46500,Enhanced Autopilot,No Accidents,755,MD,Maryland
Model Y,31077,46700,Full Self-Driving ,No Accidents,759,NJ,New Jersey
Model Y,31056,46700,Full Self-Driving ,No Accidents,759,TN,Tennessee
Model Y,26664,40600,Autopilot,No Accidents,649,WA,Washington
Model Y,11812,46800,Autopilot,No Accidents,761,IL,Illinois
Model Y,25081,42500,Autopilot,No Accidents,683,MN,Minnesota
Model Y,13319,43000,Enhanced Autopilot,No Accidents,692,MN,Minnesota
Model Y,23094,42300,Enhanced Autopilot,Previously Repaired,680,AZ,Arizona
Model Y,30911,46100,Full Self-Driving ,No Accidents,748,AZ,Arizona
